@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
1,     0.59261,     0.377665,     0.279816,     0.40739,     0.097849,     		      false,     none
0.351111,     0.772727,     0.339852,     0.473092,     -0.421616,     -0.13324,      true,     horizontal
0.333333,     0.378167,     0.333333,     0.347265,     -0.044833,     -0.013932,  		true,     horizontal
1,     0.481481,     0.336111,     0.392438,     0.518519,     -0.056327,     	   		true,     horizontal
0.375661,     1,     0.365648,     0.697143,     -0.624339,     -0.331495,     	   		false,     none
0.722222,     1,     0.237954,     0.43147,     -0.277778,     -0.193516,     	    	true,     vertical
0.78125,     0.155583,     0.4594,     0.136964,     0.625667,     0.322436,          true,     horizontal
0.282353,     0.755102,     0.268145,     0.45957,     -0.472749,     -0.191425,    	true,     horizontal
0.350427,     0.834053,     0.337607,     0.52736,     -0.483625,     -0.189753,      true,     horizontal
0.282353,     0.755102,     0.268145,     0.45957,     -0.472749,     -0.191425,    	true,     horizontal
0.350427,     0.834053,     0.337607,     0.52736,     -0.483625,     -0.189753,   		true,     horizontal
1,     0.213542,     0.321396,     0.155432,     0.786458,     0.165965,     	      true,     horizontal
0.26087,     0.327124,     0.255142,     0.242374,     -0.066254,     0.012768,    		false,     none
0.803673,     0.203191,     0.359058,     0.155982,     0.600482,     0.203076,      true,     horizontal
0.207865,     0.755102,     0.185509,     0.424247,     -0.547237,     -0.238738,     true,     horizontal
0.238484,     0.722222,     0.221224,     0.638889,     -0.483738,     -0.417664,  		false,     none
0.336806,     1,     0.320959,     0.67686,     -0.663194,     -0.355902,     	     true,     horizontal
0.333333,     0.27425,     0.333333,     0.170887,     0.059083,     0.162446,     		true,     horizontal
0.625,     0.394797,     0.39399,     0.327155,     0.230203,     0.066836,           false,     none
0.28381,     0.617952,     0.241635,     0.346658,     -0.334143,     -0.105023,      true,     horizontal
0.268546,     0.414966,     0.238944,     0.277906,     -0.14642,     -0.038963,      false,     none
0.351111,     0.772727,     0.339852,     0.473092,     -0.421616,     -0.13324,     true,     horizontal
0.505807,     0.575359,     0.415797,     0.427802,     -0.069552,     -0.012006,    true,     horizontal
0.247483,     0.632653,     0.235344,     0.459485,     -0.38517,     -0.224141,      false,     none
0.380117,     0.945988,     0.344383,     0.73556,     -0.565871,     -0.391177,     true,     horizontal
0.44,     0.268306,     0.21478,     0.18097,     0.171694,     0.033811,     	   	true,     horizontal
0.402842,     0.236831,     0.338788,     0.232438,     0.166011,     0.10635,       true,     horizontal
0.266667,     0.82,     0.257395,     0.581581,     -0.553333,     -0.324187,       true,     horizontal
0.269257,     0.755102,     0.262534,     0.47762,     -0.485845,     -0.215085,    true,     horizontal
0.390313,     0.834053,     0.351852,     0.545784,     -0.443739,     -0.193932,   true,     horizontal
0.269257,     0.755102,     0.262534,     0.47762,     -0.485845,     -0.215085,    true,     horizontal
0.390313,     0.834053,     0.351852,     0.545784,     -0.443739,     -0.193932,  	true,     horizontal
1,     0.2332,     0.427443,     0.206143,     0.7668,     0.2213,     			    true,     vertical
0.555556,     0.687813,     0.414948,     0.40767,     -0.132257,     0.007277,     true,     vertical
0.555556,     0.687813,     0.408363,     0.407476,     -0.132257,     0.000887,   	true,     horizontal
0.391129,     0.561423,     0.345485,     0.472264,     -0.170294,     -0.126779,     true,     horizontal
0.292236,     0.518671,     0.263734,     0.265747,     -0.226436,     -0.002013,  	false,     none
0.333333,     1,     0.333333,     0.617569,     -0.666667,     -0.284236,     	   	false,     none
0.333333,     1,     0.333333,     0.617569,     -0.666667,     -0.284236,     	     false,     none
0.505807,     0.575359,     0.415797,     0.427802,     -0.069552,     -0.012006,  	true,     horizontal
0.363985,     0.220833,     0.337278,     0.146999,     0.143151,     0.190278,     true,     horizontal
0.373737,     0.24537,     0.337619,     0.173908,     0.128367,     0.163711,        true,     horizontal
0.288515,     0.600179,     0.265658,     0.462902,     -0.311663,     -0.197244,  	true,     horizontal
0.233165,     0.472222,     0.217456,     0.306265,     -0.239057,     -0.088809,   false,     none
0.351852,     0.228795,     0.338421,     0.228493,     0.123057,     0.109927,       false,     none
0.5,     0.654421,     0.467196,     0.55307,     -0.154421,     -0.085874,         true,     horizontal
0.3125,     0.660905,     0.299479,     0.582639,     -0.348405,     -0.28316,       false,     none
0.460317,     0.68,     0.365079,     0.553524,     -0.219683,     -0.188444,      		false,     none
0.335436,     1,     0.328036,     0.533392,     -0.664564,     -0.205356,     	      true,     horizontal
0.211852,     0.887543,     0.201369,     0.428409,     -0.675691,     -0.22704,      false,     none
0.358689,     0.777434,     0.348329,     0.584404,     -0.418746,     -0.236076,    false,     none
0.50438,     0.793847,     0.382686,     0.580507,     -0.289467,     -0.197821,      false,     none
0.369643,     0.795013,     0.355397,     0.589291,     -0.42537,     -0.233894,     true,     horizontal
0.25,     0.620907,     0.25,     0.482978,     -0.370907,     -0.232978,     	      true,     horizontal
0.403425,     0.882813,     0.374266,     0.582061,     -0.479388,     -0.207795,  		false,     none
1,     0.922857,     0.670576,     0.603704,     0.077143,     0.066872,     	      false,     none
0.333333,     0.375783,     0.333333,     0.351152,     -0.04245,     -0.017819,      true,     horizontal
0.313364,     0.710871,     0.281875,     0.4945,     -0.397506,     -0.212625,     true,     horizontal
0.296373,     0.61379,     0.273241,     0.528625,     -0.317417,     -0.255384,   false,     none
0.636364,     0.435338,     0.446193,     0.355088,     0.201026,     0.091105,     false,     none
0.418367,     0.196429,     0.297959,     0.183532,     0.221939,     0.114427,    	false,     none
0.333333,     1,     0.248299,     0.564615,     -0.666667,     -0.316315,     	    true,     horizontal
0.28,     0.277135,     0.211198,     0.136997,     0.002865,     0.074201,    	    true,     horizontal
0.45491,     0.101554,     0.358672,     0.09509,     0.353357,     0.263582,      		false,     none
0.349794,     0.68,     0.33472,     0.389188,     -0.330206,     -0.054469,          true,     horizontal
0.212308,     0.722222,     0.203636,     0.509639,     -0.509915,     -0.306003,  	false,     none
1,     0,     0.632437,     0,     1,     0,     								    false,     none
0.399194,     0.142422,     0.37697,     0.100662,     0.256772,     0.276308,     	false,     none
0.377778,     0.4,     0.366667,     0.314994,     -0.022222,     0.051673,        	false,     none
0.5,     0.2,     0.25,     0.2,     0.3,     0.05,     						     true,     horizontal
0.331361,     0.966676,     0.244603,     0.412232,     -0.635315,     -0.167629,  	false,     none
0.349206,     1,     0.262755,     0.602354,     -0.650794,     -0.339599,     	      true,     horizontal
0.239866,     0.808546,     0.223095,     0.415723,     -0.56868,     -0.192628,    	false,     none
0.418367,     0.196429,     0.297959,     0.183532,     0.221939,     0.114427,       true,     horizontal
0.443137,     0.632482,     0.296589,     0.341871,     -0.189345,     -0.045282,  		true,     horizontal
0.316964,     0.213719,     0.273084,     0.166208,     0.103245,     0.106876,       true,     horizontal
0.359477,     0.451389,     0.344538,     0.38119,     -0.091912,     -0.036652,   	false,     none
0.14959,     0.552,     0.145998,     0.394133,     -0.40241,     -0.248135,       	false,     none
0.377778,     0.4,     0.366667,     0.314994,     -0.022222,     0.051673,           true,     horizontal
0.253576,     0.476371,     0.209492,     0.236065,     -0.222795,     -0.026573,   true,     horizontal
0.396825,     0.176561,     0.349163,     0.159546,     0.220265,     0.189618,    	true,     horizontal
0.446429,     0.227422,     0.284697,     0.172932,     0.219007,     0.111766,    false,     none
0.310286,     0.244626,     0.25026,     0.222649,     0.065659,     0.02761,      	false,     none
0.625,     0.313821,     0.395696,     0.225675,     0.311179,     0.170022,       	false,     none
0.303891,     0.245337,     0.246891,     0.219144,     0.058554,     0.027746,       true,     horizontal
0.212308,     0.722222,     0.203636,     0.509639,     -0.509915,     -0.306003,     true,     horizontal
0.358025,     0.430608,     0.344568,     0.321439,     -0.072583,     0.023129,      true,     horizontal
0.240281,     0.714286,     0.196687,     0.433992,     -0.474004,     -0.237305,   true,     horizontal
0.637368,     0.298478,     0.462133,     0.286143,     0.33889,     0.175991,     	true,     vertical
0.377778,     0.4,     0.366667,     0.314994,     -0.022222,     0.051673,           true,     horizontal
0.352071,     0.994872,     0.271373,     0.491008,     -0.642801,     -0.219635,   true,     horizontal
0.204848,     0.858605,     0.2026,     0.523087,     -0.653756,     -0.320487,       true,     horizontal
0.476909,     0.506804,     0.370142,     0.361633,     -0.029895,     0.008509,    true,     horizontal
0.470085,     0.076999,     0.397537,     0.06757,     0.393086,     0.329967,        false,     none
0.555556,     0.398554,     0.350427,     0.273098,     0.157001,     0.077329,    	false,     none
0.555556,     1,     0.393044,     0.580896,     -0.444444,     -0.187853,     	     true,     horizontal

