@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0.333333,     0.378167,     0.333333,     0.347265,     -0.044833,     -0.013932,   		true,     horizontal
1,     0.481481,     0.336111,     0.392438,     0.518519,     -0.056327,     				true,     horizontal
0.375661,     1,     0.365648,     0.697143,     -0.624339,     -0.331495,     				false,     none
0.722222,     1,     0.238616,     0.411097,     -0.277778,     -0.172481,     		 	true,     vertical
0.78125,     0.150165,     0.443278,     0.132321,     0.631085,     0.310958,     	   true,     horizontal
0.30625,     0.755102,     0.291567,     0.444218,     -0.448852,     -0.15265,      	true,     horizontal
0.350427,     0.46,     0.337607,     0.340333,     -0.109573,     -0.002726,     	   true,     horizontal
0.30625,     0.755102,     0.291567,     0.444218,     -0.448852,     -0.15265,      	true,     horizontal
0.350427,     0.46,     0.337607,     0.340333,     -0.109573,     -0.002726,     			true,     horizontal
1,     0.679688,     0.535046,     0.565179,     0.320313,     -0.030132,     		   true,     horizontal
0.28125,     0.328222,     0.268738,     0.251517,     -0.046972,     0.017221,     		false,     none
0.803673,     0.203191,     0.353856,     0.159332,     0.600482,     0.194524,       true,     horizontal
0.207865,     0.755102,     0.185509,     0.428931,     -0.547237,     -0.243422,      true,     horizontal
0.248688,     0.722222,     0.231429,     0.621032,     -0.473534,     -0.389603,   		false,     none
0.336806,     1,     0.320959,     0.67686,     -0.663194,     -0.355902,     		  true,     horizontal
0.333333,     0.27425,     0.333333,     0.21915,     0.059083,     0.114183,    			true,     horizontal
0.625,     0.394797,     0.39399,     0.327155,     0.230203,     0.066836,     	   false,     none
0.3,     0.802469,     0.289135,     0.522123,     -0.502469,     -0.232988,     	   true,     horizontal
0.27632,     0.708006,     0.268573,     0.446676,     -0.431686,     -0.178102,       false,     none
0.351111,     0.772727,     0.339852,     0.514759,     -0.421616,     -0.174907,     true,     horizontal
0.505807,     0.575359,     0.41249,     0.427802,     -0.069552,     -0.015313,      true,     horizontal
0.247483,     0.632653,     0.235344,     0.436628,     -0.38517,     -0.201284,       false,     none
0.380117,     0.945988,     0.344383,     0.73556,     -0.565871,     -0.391177,      true,     horizontal
0.44,     0.244544,     0.244067,     0.203273,     0.195456,     0.040794,     		true,     horizontal
0.451111,     0.292206,     0.389119,     0.275547,     0.158905,     0.113571,       true,     horizontal
0.290509,     0.82,     0.282279,     0.500181,     -0.529491,     -0.217902,     	 true,     horizontal
0.29375,     0.755102,     0.2875,     0.446447,     -0.461352,     -0.158947,     	 true,     horizontal
0.390313,     0.46,     0.351852,     0.358758,     -0.069687,     -0.006906,     	 true,     horizontal
0.29375,     0.755102,     0.2875,     0.446447,     -0.461352,     -0.158947,    	 true,     horizontal
0.390313,     0.46,     0.351852,     0.358758,     -0.069687,     -0.006906,     		true,     horizontal
1,     0.470408,     0.565443,     0.403327,     0.529592,     0.162116,     		 true,     vertical
0.555556,     0.690083,     0.413,     0.408805,     -0.134527,     0.004194,     	 true,     vertical
0.555556,     0.690083,     0.406415,     0.408611,     -0.134527,     -0.002196,   	true,     horizontal
0.391129,     0.560901,     0.341065,     0.471916,     -0.169772,     -0.130851,      true,     horizontal
0.292236,     0.518671,     0.269984,     0.310199,     -0.226436,     -0.040215,   	false,     none
0.333333,     1,     0.333333,     0.623374,     -0.666667,     -0.290041,    			false,     none
0.333333,     1,     0.333333,     0.623374,     -0.666667,     -0.290041,    		  false,     none
0.505807,     0.575359,     0.41249,     0.427802,     -0.069552,     -0.015313,    	true,     horizontal
0.388889,     0.905,     0.340202,     0.48908,     -0.516111,     -0.148878,     	 true,     horizontal
